name,count,gender,probability,IPA,IPA_stress,n_syllables
Tiffany,1466.0,female,1.0,'tɪ fə niː,100,3.0
Sebastian,1459.0,male,1.0,sə 'bæs ʧən,010,3.0
Paola,1453.0,female,0.98,,,
Jackie,1453.0,female,0.95,'ʤæ kiː,10,2.0
Becky,1447.0,female,1.0,'bɛ kiː,10,2.0
Ken,1435.0,male,0.99,'kɛn,1,1.0
Nina,1434.0,female,0.99,'naɪ nʌ,10,2.0
Terry,1429.0,male,0.78,'tɛ riː,10,2.0
Vincent,1424.0,male,1.0,'vɪn sənt,10,2.0
Alejandra,1418.0,female,0.99,,,
Keith,1417.0,male,0.99,'kiːθ,1,1.0
Jimmy,1416.0,male,1.0,'ʤɪ miː,10,2.0
Alice,1414.0,female,1.0,'æ ləs,10,2.0
Katherine,1413.0,female,1.0,'kæ θɛː ɪn,100,3.0
Jake,1410.0,male,0.99,'ʤeɪk,1,1.0
Samuel,1409.0,male,1.0,'sæ mjuːl,10,2.0
Luke,1408.0,male,1.0,'luːk,1,1.0
Marta,1408.0,female,1.0,'mɑr tʌ,10,2.0
Lucy,1403.0,female,0.97,'luː siː,10,2.0
Ahmet,1388.0,male,0.99,'ɑ mɪ,10,2.0
Tammy,1378.0,female,1.0,'tæ miː,10,2.0
Cristian,1376.0,male,0.99,,,
Judy,1375.0,female,1.0,'ʤuː diː,10,2.0
Natalia,1370.0,female,1.0,nʌ 'tɑl jʌ,010,3.0
Cathy,1365.0,female,1.0,'kæ θiː,10,2.0
Crystal,1356.0,female,1.0,'krɪ stəl,10,2.0
Sandy,1347.0,female,0.91,'sæn diː,10,2.0
Ruth,1344.0,female,1.0,'ruːθ,1,1.0
Jill,1335.0,female,1.0,'ʤɪl,1,1.0
Sabrina,1331.0,female,1.0,sə 'briː nʌ,010,3.0
Marina,1326.0,female,0.99,mɛː 'iː nʌ,010,3.0
Courtney,1324.0,female,0.97,'kɔːrt niː,10,2.0
Gina,1320.0,female,1.0,'ʤiː nʌ,10,2.0
Michele,1311.0,female,0.7,mɪ 'ʃɛl,01,2.0
Bryan,1311.0,male,1.0,'braɪ ən,10,2.0
Jacob,1309.0,male,1.0,'ʤeɪ kəb,10,2.0
Irene,1300.0,female,1.0,aɪ 'riːn,01,2.0
Lori,1294.0,female,1.0,'lɔː riː,10,2.0
Gabriela,1293.0,female,1.0,gɑ briː 'ɛ lə,0010,4.0
Alison,1288.0,female,0.99,'æ lɪ sən,100,3.0
Brad,1286.0,male,0.99,'bræd,1,1.0
Erica,1281.0,female,1.0,'ɛ rɪ kə,100,3.0
Dennis,1279.0,male,0.99,'dɛ nɪs,10,2.0
Rodrigo,1277.0,male,1.0,rə 'driː goʊ,010,3.0
Deborah,1275.0,female,0.99,'dɛ bɛː ə,100,3.0
José,1274.0,male,0.98,,,
Mohammed,1270.0,male,1.0,moʊ 'hæ mɪd,010,3.0
Rick,1255.0,male,1.0,'rɪk,1,1.0
Jaime,1247.0,male,0.68,'haɪ miː,10,2.0
Mariana,1247.0,female,1.0,`mɛ riː 'æ nʌ,1010,4.0
Rafael,1245.0,male,1.0,`rɑ faɪ 'ɛl,101,3.0
Pat,1242.0,female,0.6,'pæt,1,1.0
Vicky,1240.0,female,0.96,'vɪ kiː,10,2.0
Nikki,1234.0,female,0.94,'nɪ kiː,10,2.0
Jen,1233.0,female,0.99,'ʤɛn,1,1.0
Nicola,1226.0,female,0.71,nɪ 'koʊ lə,010,3.0
Alexis,1224.0,male,0.52,ə 'lɛk sɪs,010,3.0
Roger,1220.0,male,1.0,'rɑ ʤɛː,10,2.0
Heidi,1211.0,female,1.0,'haɪ diː,10,2.0
Mauricio,1203.0,male,1.0,maʊ 'riː siː oʊ,0100,4.0
Sofia,1200.0,female,0.99,soʊ 'fiː ə,010,3.0
Holly,1178.0,female,0.99,'hɑ liː,10,2.0
Nicholas,1176.0,male,1.0,'nɪ kə ləs,100,3.0
Leslie,1173.0,female,0.88,'lɛ sliː,10,2.0
Martha,1169.0,female,0.99,'mɑr θə,10,2.0
Will,1169.0,male,0.99,wɪl,0,1.0
Derek,1169.0,male,1.0,'dɛ rɪk,10,2.0
Gustavo,1161.0,male,1.0,gə 'stɑ voʊ,010,3.0
Karina,1160.0,female,1.0,,,
Kristen,1160.0,female,1.0,'krɪ sən,10,2.0
Gloria,1158.0,female,1.0,'glɔː riː ə,100,3.0
Dana,1154.0,female,0.92,'deɪ nʌ,10,2.0
Lynn,1144.0,female,0.96,'lɪn,1,1.0
Elaine,1142.0,female,1.0,ɪ 'leɪn,01,2.0
Max,1140.0,male,0.98,'mæks,1,1.0
Sally,1136.0,female,0.99,'sæ liː,10,2.0
Lorena,1133.0,female,1.0,lɔː 'rɛ nʌ,010,3.0
Charlie,1131.0,male,0.79,'ʧɑr liː,10,2.0
Taylor,1126.0,female,0.63,'teɪ lɛː,10,2.0
Grace,1125.0,female,0.99,'greɪs,1,1.0
Francesca,1122.0,female,1.0,fræn 'ʧɛ skə,010,3.0
Cesar,1120.0,male,1.0,'siː zɛː,10,2.0
Annie,1120.0,female,1.0,'æ niː,10,2.0
Johanna,1107.0,female,1.0,ʤə 'hæ nʌ,010,3.0
Ibrahim,1105.0,male,0.99,`ɪ brɑ 'hiːm,101,3.0
Margaret,1101.0,female,0.98,'mɑr gɛː ɪt,100,3.0
Cecilia,1101.0,female,0.99,sɪ 'siːl jʌ,010,3.0
Tara,1098.0,female,0.99,'tɛ rə,10,2.0
Rita,1097.0,female,1.0,'riː tʌ,10,2.0
Philip,1097.0,male,1.0,'fɪ ləp,10,2.0
Nathalie,1096.0,female,1.0,'næ tʌ liː,100,3.0
Jesse,1095.0,male,0.93,'ʤɛ siː,10,2.0
Darren,1095.0,male,0.99,'dɑ rən,10,2.0
Isabel,1094.0,female,1.0,'ɪ zʌ `bɛl,101,3.0
Francesco,1093.0,male,1.0,fræn 'ʧɛ skoʊ,010,3.0
Joanna,1091.0,female,1.0,ʤoʊ 'æ nʌ,010,3.0
JoAnna,1091.0,female,1.0,ʤoʊ 'æ nʌ,010,3.0
Kayla,1090.0,female,1.0,'keɪ lə,10,2.0
Joyce,1089.0,female,0.97,'ʤɔɪs,1,1.0
Simone,1086.0,female,0.55,sɪ 'moʊn,01,2.0
Mandy,1085.0,female,0.99,'mæn diː,10,2.0
Lindsay,1081.0,female,0.95,'lɪnd ziː,10,2.0
Julian,1079.0,male,1.0,'ʤuː liː ən,100,3.0
April,1076.0,female,1.0,'eɪ prəl,10,2.0
Luca,1075.0,male,0.99,'luː kə,10,2.0
Veronica,1075.0,female,0.99,vɛː 'ɑ nɪ kə,0100,4.0
Shirley,1073.0,female,1.0,'ʃɛː liː,10,2.0
Erik,1072.0,male,0.99,'ɛ rɪk,10,2.0
Jesus,1071.0,male,0.98,'ʤiː zəs,10,2.0
Henry,1067.0,male,1.0,'hɛn riː,10,2.0
Julien,1062.0,male,1.0,'ʤuː liː ən,100,3.0
Johan,1060.0,male,1.0,joʊ 'hɑn,01,2.0
